F,prev,current,roots
28,abcbabcbcacbcabacbcabcbacbcabca,abcbabcbcacbcabacbcabcbacbcabcacbcbabcacb,abcabacbabcacb;abcabacbcabcbabcacb;abcabacbcabcbacbcacb;abcabacbcabcbacbcacbabcacb;abcabacbcacb;abcabacbcacbabcacb;abcacb;abcacbcabacbabcacb;abcacbcabacbcacb;abcacbcabacbcacbabcacb;abcacbcabcbabcacb;abcacbcabcbacbcacb;abcacbcabcbacbcacbabcacb;abcbabcabacbabcacb;abcbabcabacbcabcbabcacb;abcbabcabacbcabcbacbcacb;abcbabcabacbcabcbacbcacbabcacb;abcbabcabacbcacb;abcbabcabacbcacbabcacb;abcbabcacb;abcbabcacbcabacbabcacb;abcbabcacbcabacbcacb;abcbabcacbcabacbcacbabcacb;abcbabcacbcabcbabcacb;abcbabcacbcabcbacbcacb;abcbabcacbcabcbacbcacbabcacb;abcbacbcacb;abcbacbcacbabcacb
29,abcbabcbcacbcabacbcabcbacbcabca,abcbabcbcacbcabacbcabcbacbcabcacbabcacbcb,abcabacb;abcabacbcabcbacb;abcabacbcabcbacbcacb;abcabacbcabcbacbcacbabcacb;abcabacbcacb;abcabacbcacbabcacb;abcacb;abcacbcabacb;abcacbcabacbcacb;abcacbcabacbcacbabcacb;abcacbcabcbacb;abcacbcabcbacbcacb;abcacbcabcbacbcacbabcacb;abcbabcabacb;abcbabcabacbcabcbacb;abcbabcabacbcabcbacbcacb;abcbabcabacbcabcbacbcacbabcacb;abcbabcabacbcacb;abcbabcabacbcacbabcacb;abcbabcacb;abcbabcacbcabacb;abcbabcacbcabacbcacb;abcbabcacbcabacbcacbabcacb;abcbabcacbcabcbacb;abcbabcacbcabcbacbcacb;abcbabcacbcabcbacbcacbabcacb;abcbacb;abcbacbcacb;abcbacbcacbabcacb
30,abcbabcbcacbcacabacabcbabcbcacbca,abcbabcbcacbcacabacabcbabcbcacbcabacbcab,abcab;abcabacab;abcabacabcacbcab;abcabacabcbabcab;abcabacabcbabcabacbcab;abcabacabcbabcacbcab;abcabacbcab;abcacbcab;abcacbcabacab;abcacbcabacabcacbcab;abcacbcabacabcbabcab;abcacbcabacabcbabcabacbcab;abcacbcabacabcbabcacbcab;abcacbcabcbabcab;abcacbcabcbabcabacbcab;abcacbcabcbabcacbcab;abcbabcab;abcbabcabacab;abcbabcabacabcacbcab;abcbabcabacabcbabcab;abcbabcabacabcbabcacbcab;abcbabcabacbcab;abcbabcacbcab;abcbabcacbcabacab;abcbabcacbcabacabcacbcab;abcbabcacbcabacabcbabcab;abcbabcacbcabacabcbabcabacbcab;abcbabcacbcabacabcbabcacbcab;abcbabcacbcabcbabcab;abcbabcacbcabcbabcabacbcab
10,abcbabcbcacbcacabacab,abcbabcbcacbcacabacabcbacabcb,abcabacabcb;abcacbcabacabcb;abcacbcabcb;abcacbcabcbacabcb;abcb;abcbabcabacabcb;abcbabcacbcabacabcb;abcbabcacbcabcb;abcbabcacbcabcbacabcb;abcbacabcb
31,abcbabcbcacbcacabacabcbacabcb,abcbabcbcacbcacabacabcbacabcbabcbcacbca,abca;abcabacabca;abcabacabcacbca;abcabacabcbabca;abcabacabcbabcacbca;abcacbca;abcacbcabacabca;abcacbcabacabcacbca;abcacbcabacabcbabca;abcacbcabacabcbabcacbca;abcacbcabcbabca;abcacbcabcbabcacbca;abcacbcabcbacabca;abcacbcabcbacabcacbca;abcbabca;abcbabcabacabca;abcbabcabacabcacbca;abcbabcabacabcbabca;abcbabcabacabcbabcacbca;abcbabcacbca;abcbabcacbcabacabca;abcbabcacbcabacabcacbca;abcbabcacbcabacabcbabca;abcbabcacbcabacabcbabcacbca;abcbabcacbcabcbabca;abcbabcacbcabcbacabca;abcbabcacbcabcbacabcacbca;abcbacabca;abcbacabcacbca;abcbacabcbabca;abcbacabcbabcacbca
32,abcbabcbcacbcacabacabcbacabcabacac,abcbabcbcacbcacabacabcbacabcabacacbcabacac,abcabac;abcabacabcbac;abcabacabcbacabac;abcabacabcbacabacbcabac;abcabacabcbacbcabac;abcacbcabac;abcacbcabacabcbac;abcacbcabacabcbacabac;abcacbcabacabcbacabacbcabac;abcacbcabacabcbacbcabac;abcacbcabcbac;abcacbcabcbacabac;abcacbcabcbacabacbcabac;abcacbcabcbacbcabac;abcbabcabac;abcbabcabacabcbac;abcbabcabacabcbacabac;abcbabcabacabcbacabacbcabac;abcbabcabacabcbacbcabac;abcbabcacbcabac;abcbabcacbcabacabcbac;abcbabcacbcabacabcbacabac;abcbabcacbcabacabcbacabacbcabac;abcbabcacbcabacabcbacbcabac;abcbabcacbcabcbac;abcbabcacbcabcbacabac;abcbabcacbcabcbacabacbcabac;abcbabcacbcabcbacbcabac;abcbac;abcbacabac;abcbacabacbcabac;abcbacbcabac
33,abcbabcbcacbcacabacabcbacabcabacac,abcbabcbcacbcacabacabcbacabcabacacbcacbacab,abcab;abcabacab;abcabacabcbacab;abcabacabcbacabacbcacbacab;abcabacabcbacbcacbacab;abcabacbcacbacab;abcacbcab;abcacbcabacab;abcacbcabacabcbacab;abcacbcabacabcbacabacbcacbacab;abcacbcabacabcbacbcacbacab;abcacbcabacbcacbacab;abcacbcabcbacab;abcacbcabcbacabacbcacbacab;abcacbcabcbacbcacbacab;abcbabcab;abcbabcabacab;abcbabcabacabcbacab;abcbabcabacabcbacabacbcacbacab;abcbabcabacabcbacbcacbacab;abcbabcabacbcacbacab;abcbabcacbcab;abcbabcacbcabacab;abcbabcacbcabacabcbacab;abcbabcacbcabacabcbacabacbcacbacab;abcbabcacbcabacabcbacbcacbacab;abcbabcacbcabacbcacbacab;abcbabcacbcabcbacab;abcbabcacbcabcbacabacbcacbacab;abcbabcacbcabcbacbcacbacab;abcbacab;abcbacabacbcacbacab;abcbacbcacbacab
34,abcbabcbcacbcacabacabcbabcbcacbca,abcbabcbcacbcacabacabcbabcbcacbcacabacab,abcab;abcabacab;abcabacabcacbcab;abcabacabcacbcabacab;abcabacabcbabcab;abcabacabcbabcabacab;abcabacabcbabcacbcab;abcabacabcbabcacbcabacab;abcacbcab;abcacbcabacab;abcacbcabacabcacbcab;abcacbcabacabcbabcab;abcacbcabacabcbabcabacab;abcacbcabacabcbabcacbcab;abcacbcabacabcbabcacbcabacab;abcacbcabcbabcab;abcacbcabcbabcabacab;abcacbcabcbabcacbcab;abcacbcabcbabcacbcabacab;abcbabcab;abcbabcabacab;abcbabcabacabcacbcab;abcbabcabacabcacbcabacab;abcbabcabacabcbabcab;abcbabcabacabcbabcacbcab;abcbabcabacabcbabcacbcabacab;abcbabcacbcab;abcbabcacbcabacab;abcbabcacbcabacabcacbcab;abcbabcacbcabacabcbabcab;abcbabcacbcabacabcbabcabacab;abcbabcacbcabacabcbabcacbcab;abcbabcacbcabcbabcab;abcbabcacbcabcbabcabacab
35,abcbabcbcacbcabacbcabcbacbcabca,abcbabcbcacbcabacbcabcbacbcabcacbcbabcba,abcabacba;abcabacbabcba;abcabacbcabcba;abcabacbcabcbacbcacba;abcabacbcabcbacbcacbabcba;abcabacbcacba;abcabacbcacbabcba;abcacba;abcacbabcba;abcacbcabacba;abcacbcabacbabcba;abcacbcabacbcacba;abcacbcabacbcacbabcba;abcacbcabcba;abcacbcabcbacbcacba;abcacbcabcbacbcacbabcba;abcba;abcbabcabacba;abcbabcabacbabcba;abcbabcabacbcabcba;abcbabcabacbcabcbacbcacba;abcbabcabacbcabcbacbcacbabcba;abcbabcabacbcacba;abcbabcabacbcacbabcba;abcbabcacba;abcbabcacbabcba;abcbabcacbcabacba;abcbabcacbcabacbabcba;abcbabcacbcabacbcacba;abcbabcacbcabacbcacbabcba;abcbabcacbcabcba;abcbabcacbcabcbacbcacba;abcbabcacbcabcbacbcacbabcba;abcbacbcacba;abcbacbcacbabcba
36,abcbabcbcacbcacabacabcbacabcab,abcbabcbcacbcacabacabcbacabcabacacbcacb,abcabacabcbacabacb;abcabacabcbacabacbcacb;abcabacabcbacb;abcabacabcbacbcacb;abcabacb;abcabacbcacb;abcacbcabacabcbacabacb;abcacbcabacabcbacabacbcacb;abcacbcabacabcbacb;abcacbcabacabcbacbcacb;abcacbcabacb;abcacbcabacbcacb;abcacbcabcbacabacb;abcacbcabcbacabacbcacb;abcacbcabcbacb;abcacbcabcbacbcacb;abcbabcabacabcbacabacb;abcbabcabacabcbacabacbcacb;abcbabcabacabcbacb;abcbabcabacabcbacbcacb;abcbabcabacb;abcbabcabacbcacb;abcbabcacbcabacabcbacabacb;abcbabcacbcabacabcbacabacbcacb;abcbabcacbcabacabcbacb;abcbabcacbcabacabcbacbcacb;abcbabcacbcabacb;abcbabcacbcabacbcacb;abcbabcacbcabcbacabacb;abcbabcacbcabcbacabacbcacb;abcbabcacbcabcbacb;abcbabcacbcabcbacbcacb;abcbacabacb;abcbacabacbcacb;abcbacb;abcbacbcacb
